school,place_of_worship,restaurant,townhall,fuel,fast_food,bank,atm,police,bus_station,fire_station,cafe,doctors,clinic,parking,monastery,library,hospital,college,public_building,university,theatre,courthouse,bar,cinema,post_office,community_centre,marketplace,pharmacy,childcare,social_facility,Location,Date_Extracted,water_point,bbq,ferry_terminal,car_wash,internet_cafe,recycling,bureau_de_change,studio,health_post,dentist,taxi,toilets,animal_breeding,events_venue,shelter,prison,money_transfer,bench,kindergarten,fountain,waste_transfer_station,Government Agency,nursing_home,rescue_station,post_box,clock,weighbridge,coast_guard,conference_centre,food_court,stage,pub,drinking_water,nightclub,payment_centre,parking_space,telephone,arts_centre,motorcycle_parking,bicycle_repair_station,yes,bicycle_parking,dive_centre,ice_cream,waste_basket,grave_yard,car_rental,veterinary,prep_school,music_school,research_institute,post_depot,hunting_stand,vending_machine,waste_disposal,parking_entrance,gambling,Ice plant,biergarten,electricity,smoking_area,motorcycle_rental,bicycle_rental,waiting shed,crematorium,planetarium,language_school,charging_station,ranger_station,fish_spa,daycare center,basketball court,sports complex,office,Provincial Capitol,Old Hospital,payment_terminal,court,retail,vehicle_inspection,customs,shower,lounger,compressed_air,driving_school,casino,love_hotel,jeepney_station,boat_rental,watering_place,service,social_centre,market,reception_hall,air_filling,lake,barangay hall,guardhouse,fixme,table,training,coworking_space,jeepney_terminal,dancing_school,courier,driver_training,church,events_center,meditation_centre,letter_box,payment_centre;bureau_de_change,hitching_post,canteen,money_lender,give_box,scooter_rental,cafeteria,mortuary,reception_desk,dressing_room,fablab,bus_stop,public_bath,funeral_hall,security,karaoke_box,cable,healthcare,fx_station,museum,tricylce_station,animal_shelter,Sisters' Convent,caltex_station-atlag,Convent,loading_dock,water_tap,grain_dryer,dryer,funeral_directors,barangay Hall,security_booth,preschool,drugstore,first_aid,resort,device_charging_station,mill,warehouse,handwashing,pawnbroker,spa,sports_hall,birthing_centre,private residence,events_place,public_transport,retreat_house,industrial,place_of_mourning,photo_booth,business_center,chapel,lavoir,sanitary_dump_station,boat_storage,dormitory,Karaoke Bar,closed_restaurant,civic,outpost,closed_fuel,homes,health_station,dojo,building,sotore,park,quarantine_facility,wheel_bath,grilled_chicken,satellite_tv,traditional_medicine,baby_hatch,stripclub,wifi,pepsi depot,stables,covered_court,laboratory,public_buildings,basketballcourt,barangay hall_cabulalaan,Basketball Court,lounge,home,animal_boarding,flight_school,barangay_outpost,parcel_locker,Coliseum,appliance,multipurpose_pavement,refugee_site,multi-purpose shed,multi-purpose hall,cockpit,triage,lecture_hall,scrapyard,tricycle_station,jeep_station,pedicab_terminal,grave,auditorium,vacant,concert_hall,jeepney terminal,computer,hut,airsoft_gamesite,shower;toilets,convention_centre,gym,ticket_booth,fishing_port,disused,village_hall,food stall,farm,Gym,payment_center,billards,clinic;police,townhall;childcare;clinic,Commercial building,restaurant;event_location,vegetable_market,bar;pharmacy,binoculars,animal_training,townhal,swimming_pool,retirement_home,plant_nursery,community_centre;bench,events_centre,waterwell,public,social_facility without social_facility,poultry,pedicab_station,Public_Transpotation,cooking_school,social_club,funeral_home,taxi Jeeps,place_of_worship without religion,wheeler,car_pooling,terminal,restaurant;cafe,housing,clinic;laboratory,fuel;toilets,school inside amenity,barangay_hall,bank;pharmacy,jeep_terminal;restaurant,health_outpost,community_hall,Sari—Sari Store,cockfighting house,tricycle,jogging path,house,grocery,rickshaw,shed,utilities,truck_scale,mall,dryer_place,register_office,naka,pavilion,Iglesia ni Cristo,Contractor,district hospital,health_facility,cafe;motorcycle_rental,rescue-station,bakery,evacuation center,beach,restaurant;dive_centre,transport,Transport,car_sharing,village,recreational_ground,cockfighting
322,8,8,8,7,6,5,4,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Abra,01/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,88,49,46,69,50,50,25,20,7,4,13,10,11,25,,3,16,9,1,4,,3,11,1,7,1,13,36,2,2,Agusan del Norte,01/09/2023,23,9,8,7,6,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,83,32,73,54,41,20,5,12,12,3,4,5,8,6,,1,15,8,,2,3,,4,,4,11,15,19,10,2,Agusan del Sur,01/09/2023,,1,8,6,10,1,1,1,1,1,6,2,,,4,,1,,4,1,,,,,,,,,,3,3,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,147,174,30,53,96,35,23,21,9,7,40,6,18,56,2,1,14,19,4,4,2,,19,,10,7,26,24,4,4,Aklan,01/09/2023,1,,9,2,1,7,6,9,2,9,1,16,,,57,,3,8,11,8,,,,,,,,2,,,1,10,1,3,2,2,2,,,,,21,8,8,5,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,103,146,44,88,47,62,26,26,13,9,25,10,43,128,,1,28,27,3,9,,2,30,1,16,12,17,49,4,4,Albay,01/09/2023,2,1,3,19,4,1,5,4,3,10,5,4,,2,19,1,3,5,2,3,,,,,,,,2,1,2,1,,1,8,,3,,1,,,,2,1,1,,4,,4,,,,,,1,1,,1,,,,,1,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,95,37,32,54,24,24,5,11,9,8,7,4,4,19,,1,16,6,9,2,,2,6,1,2,7,17,15,2,4,Antique,01/09/2023,1,,5,1,3,,1,,,2,1,4,,,8,,,4,1,,,,,,,,,2,,,2,2,1,,1,1,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,7,,4,5,,,,1,,,,1,1,3,1,,5,1,1,,,,,,,,4,,1,1,Apayao,01/09/2023,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,32,44,18,25,13,13,3,4,6,2,5,1,1,12,,,5,7,,1,,1,6,,,9,9,6,3,2,Aurora,01/09/2023,,,2,2,1,,1,,,,3,7,,1,13,1,,2,,1,,,,1,,,,,,3,,,1,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,2,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,42,4,17,4,5,6,6,10,3,3,,,1,,,1,6,3,,1,1,1,,,2,1,9,3,1,,Basilan,01/09/2023,2,,4,,,,,,,,1,3,,,1,1,1,,1,,,,1,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,132,68,54,94,57,47,10,19,21,10,19,9,13,87,1,3,20,11,22,7,1,6,13,4,21,10,16,35,2,6,Bataan,01/09/2023,1,,5,3,1,,2,1,4,1,1,24,,2,24,1,2,21,2,9,,,1,1,,,1,1,1,1,1,,,,,,2,,1,,,,,1,2,2,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
