river,Location,Date_Extracted,pond,lake,lagoon,basin,oxbow,reservoir,canal,stream,drain,lake;pond,fishpond,tidal,wastewater,meander,fountain,yes,Flooded,lock,salt_pool,golf,ditch,stream_pool,moat,pool,Swimming_Pool,cove,Creek,intermittent,bank,shallow,Resrvoiur,dam,wetland,spring,estuary,natural,Deep_Well,Falls,reflecting_pool,strait
36,Abra,01/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Agusan del Norte,01/09/2023,1808,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Agusan del Sur,01/09/2023,55,96,,,16,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Aklan,01/09/2023,5774,,,,,4,420,81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Albay,01/09/2023,95,8,,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Antique,01/09/2023,83,5,1,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Apayao,01/09/2023,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Aurora,01/09/2023,20,9,2,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Basilan,01/09/2023,6,,1,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bataan,01/09/2023,55,2,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Batanes,01/09/2023,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Batangas,01/09/2023,117,14,3,,,10,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Benguet,01/09/2023,16,6,,2,,9,,5,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
6,Biliran,01/09/2023,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Bohol,01/09/2023,110,10,2,,,84,,,,,26,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
64,Bukidnon,01/09/2023,41,17,1,,,9,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Bulacan,01/09/2023,1182,6,,1,,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
221,Cagayan,01/09/2023,348,23,1,10,5,46,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,
74,Camarines Norte,01/09/2023,576,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Camarines Sur,01/09/2023,153,15,1,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Camiguin,01/09/2023,1,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
