Location,hospital,clinic,health_post,pharmacy,doctors,community_centre,social_centre,social_facility
ABRA,1.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0
AGUSAN DEL NORTE,16.0,11.0,4.0,36.0,10.0,1.0,0.0,2.0
AGUSAN DEL SUR,15.0,8.0,1.0,19.0,5.0,11.0,0.0,2.0
AKLAN,14.0,18.0,2.0,24.0,6.0,7.0,0.0,4.0
ALBAY,28.0,43.0,3.0,49.0,10.0,12.0,0.0,4.0
ANTIQUE,16.0,4.0,0.0,15.0,4.0,7.0,0.0,4.0
AURORA,5.0,1.0,0.0,6.0,1.0,9.0,0.0,2.0
BASILAN,6.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0
BATAAN,20.0,13.0,4.0,35.0,9.0,10.0,0.0,6.0
BATANES,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
BATANGAS,86.0,95.0,1.0,158.0,63.0,34.0,1.0,11.0
BENGUET,25.0,39.0,17.0,134.0,29.0,49.0,0.0,20.0
BILIRAN,1.0,3.0,4.0,6.0,1.0,2.0,0.0,3.0
BOHOL,25.0,57.0,4.0,43.0,9.0,39.0,1.0,42.0
BUKIDNON,31.0,34.0,9.0,32.0,5.0,13.0,0.0,1.0
BULACAN,99.0,73.0,13.0,277.0,43.0,46.0,1.0,39.0
CAGAYAN,27.0,24.0,4.0,17.0,10.0,12.0,0.0,2.0
CAMARINES NORTE,11.0,12.0,1.0,27.0,2.0,4.0,0.0,2.0
CAMARINES SUR,26.0,31.0,4.0,69.0,7.0,34.0,2.0,13.0
CAMIGUIN,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
CAPIZ,25.0,37.0,2.0,15.0,4.0,13.0,0.0,2.0
CATANDUANES,11.0,4.0,1.0,8.0,1.0,7.0,1.0,0.0
CAVITE,91.0,117.0,6.0,273.0,33.0,155.0,6.0,16.0
CEBU,62.0,93.0,8.0,291.0,39.0,107.0,0.0,26.0
DAVAO DEL NORTE,31.0,19.0,6.0,25.0,3.0,9.0,0.0,6.0
DAVAO DEL SUR,60.0,99.0,19.0,160.0,58.0,39.0,0.0,33.0
DAVAO ORIENTAL,7.0,2.0,9.0,8.0,4.0,7.0,0.0,1.0
DINAGAT ISLANDS,3.0,1.0,0.0,1.0,5.0,2.0,1.0,0.0
EASTERN SAMAR,20.0,14.0,3.0,26.0,6.0,28.0,0.0,3.0
GUIMARAS,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0
IFUGAO,11.0,6.0,1.0,1.0,1.0,7.0,0.0,6.0
ILOCOS NORTE,23.0,16.0,1.0,42.0,10.0,15.0,1.0,6.0
ILOCOS SUR,21.0,8.0,3.0,36.0,5.0,22.0,0.0,6.0
ILOILO,38.0,84.0,11.0,200.0,29.0,112.0,0.0,12.0
ISABELA,37.0,5.0,0.0,20.0,8.0,21.0,0.0,3.0
KALINGA,6.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0
LA UNION,19.0,18.0,7.0,51.0,11.0,24.0,0.0,4.0
LAGUNA,68.0,91.0,8.0,214.0,55.0,57.0,1.0,29.0
LANAO DEL NORTE,19.0,25.0,5.0,35.0,15.0,29.0,0.0,1.0
LANAO DEL SUR,6.0,6.0,2.0,12.0,3.0,16.0,0.0,1.0
LEYTE,51.0,101.0,12.0,142.0,32.0,212.0,1.0,7.0
MARINDUQUE,4.0,3.0,0.0,6.0,1.0,4.0,0.0,0.0
MASBATE,7.0,3.0,0.0,3.0,9.0,11.0,0.0,5.0
METRO MANILA,245.0,479.0,105.0,1264.0,252.0,327.0,8.0,171.0
MISAMIS OCCIDENTAL,15.0,6.0,1.0,16.0,7.0,8.0,0.0,1.0
MISAMIS ORIENTAL,30.0,34.0,12.0,93.0,9.0,16.0,3.0,9.0
MOUNTAIN PROVINCE,10.0,4.0,1.0,11.0,5.0,2.0,0.0,1.0
NEGROS OCCIDENTAL,41.0,29.0,1.0,78.0,7.0,67.0,1.0,10.0
NEGROS ORIENTAL,16.0,18.0,1.0,47.0,7.0,9.0,2.0,15.0
NORTHERN SAMAR,9.0,17.0,0.0,30.0,8.0,35.0,0.0,3.0
OCCIDENTAL MINDORO,9.0,18.0,0.0,17.0,3.0,19.0,0.0,6.0
ORIENTAL MINDORO,14.0,8.0,3.0,34.0,8.0,6.0,0.0,4.0
PALAWAN,19.0,29.0,4.0,43.0,12.0,32.0,3.0,2.0
PAMPANGA,79.0,501.0,27.0,443.0,51.0,57.0,0.0,491.0
PANGASINAN,56.0,70.0,32.0,279.0,34.0,60.0,0.0,10.0
QUEZON,37.0,33.0,4.0,89.0,13.0,26.0,2.0,6.0
QUIRINO,1.0,6.0,2.0,1.0,1.0,7.0,1.0,1.0
RIZAL,50.0,60.0,13.0,133.0,16.0,185.0,4.0,13.0
ROMBLON,8.0,6.0,2.0,9.0,3.0,7.0,0.0,2.0
SAMAR,17.0,15.0,3.0,27.0,5.0,64.0,0.0,9.0
SARANGANI,6.0,6.0,2.0,22.0,0.0,7.0,0.0,2.0
SORSOGON,20.0,5.0,18.0,17.0,0.0,9.0,0.0,3.0
SOUTH COTABATO,36.0,34.0,12.0,39.0,7.0,17.0,0.0,5.0
SOUTHERN LEYTE,19.0,11.0,4.0,28.0,5.0,33.0,0.0,3.0
SULTAN KUDARAT,13.0,5.0,30.0,21.0,1.0,2.0,0.0,5.0
SULU,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
SURIGAO DEL NORTE,11.0,15.0,8.0,20.0,3.0,42.0,0.0,6.0
SURIGAO DEL SUR,6.0,19.0,2.0,19.0,7.0,6.0,0.0,14.0
TARLAC,30.0,47.0,11.0,146.0,18.0,12.0,0.0,3.0
