date,cases,Cases (Forecast),Subregion,ISO Country Code,Date Forecast
2016-01-10,27.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-01-17,14.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-01-24,9.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-01-31,20.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-02-07,11.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-02-14,12.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-02-21,7.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-02-28,15.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-03-06,11.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-03-13,13.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-03-20,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-03-27,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-04-03,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-04-10,13.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-04-17,18.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-04-24,18.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-05-01,19.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-05-08,12.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-05-15,21.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-05-22,13.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-05-29,18.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-06-05,51.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-06-12,50.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-06-19,45.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-06-26,39.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-07-03,24.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-07-10,44.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-07-17,41.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-07-24,33.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-07-31,58.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-08-07,29.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-08-14,25.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-08-21,14.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-08-28,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-09-04,18.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-09-11,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-09-18,9.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-09-25,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-10-02,13.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-10-09,12.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-10-16,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-10-23,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-10-30,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-11-06,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-11-13,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-11-20,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-11-27,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-12-04,9.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-12-11,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-12-18,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2016-12-25,2.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-01-01,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-01-08,13.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-01-15,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-01-22,9.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-01-29,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-02-05,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-02-12,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-02-19,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-02-26,2.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-03-05,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-03-12,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-03-19,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-03-26,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-04-02,16.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-04-09,9.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-04-16,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-04-23,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-04-30,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-05-07,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-05-14,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-05-21,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-05-28,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-06-04,7.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-06-11,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-06-18,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-06-25,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-07-02,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-07-09,7.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-07-16,13.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-07-23,11.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-07-30,23.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-08-06,9.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-08-13,15.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-08-20,13.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-08-27,23.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-09-10,13.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-09-24,11.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-10-08,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-10-22,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-11-05,7.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-11-19,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-11-26,2.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-12-03,2.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-12-10,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-12-17,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-12-24,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-12-31,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-09-03,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-09-17,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-10-01,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-10-15,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2017-10-29,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-01-07,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-01-14,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-01-21,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-01-28,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-02-04,13.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-02-11,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-02-18,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-02-25,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-03-04,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-03-11,13.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-03-18,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-03-25,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-04-01,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-04-08,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-04-15,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-04-22,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-04-29,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-05-06,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-05-13,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-05-20,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-05-27,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-06-03,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-06-10,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-06-17,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-06-24,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-07-01,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-07-08,2.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-07-15,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-07-22,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-07-29,15.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-08-05,2.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-08-12,12.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-08-19,9.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-08-26,12.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-09-02,15.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-09-09,12.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-09-16,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-09-23,12.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-09-30,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-10-07,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-10-14,14.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-10-21,11.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-10-28,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-11-04,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-11-11,9.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-11-18,15.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-11-25,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-12-02,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-12-09,27.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-12-16,25.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-12-23,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2018-12-30,16.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-01-13,12.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-01-20,17.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-01-27,16.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-02-03,21.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-02-10,34.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-02-17,43.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-02-24,47.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-03-03,49.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-03-10,46.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-03-17,63.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-03-24,96.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-03-31,78.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-04-07,79.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-04-14,79.5,,Zamboanga Sibugay,PHL,2021-01-10
2019-04-21,80.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-04-28,85.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-05-05,176.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-05-12,180.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-05-19,144.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-05-26,128.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-06-02,162.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-06-09,196.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-06-16,196.1818181818182,,Zamboanga Sibugay,PHL,2021-01-10
2019-06-23,196.36363636363637,,Zamboanga Sibugay,PHL,2021-01-10
2019-06-30,196.54545454545453,,Zamboanga Sibugay,PHL,2021-01-10
2019-07-07,196.72727272727272,,Zamboanga Sibugay,PHL,2021-01-10
2019-07-14,196.9090909090909,,Zamboanga Sibugay,PHL,2021-01-10
2019-07-21,197.0909090909091,,Zamboanga Sibugay,PHL,2021-01-10
2019-07-28,197.27272727272728,,Zamboanga Sibugay,PHL,2021-01-10
2019-08-04,197.45454545454547,,Zamboanga Sibugay,PHL,2021-01-10
2019-08-11,197.63636363636363,,Zamboanga Sibugay,PHL,2021-01-10
2019-08-18,197.8181818181818,,Zamboanga Sibugay,PHL,2021-01-10
2019-08-25,198.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-09-01,133.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-09-08,141.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-09-15,128.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-09-22,133.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-09-29,78.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-10-06,80.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-10-13,120.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-10-20,83.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-10-27,130.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-11-03,161.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-11-10,86.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-11-17,108.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-11-24,131.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-12-01,75.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-12-08,38.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-12-15,27.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-12-22,17.0,,Zamboanga Sibugay,PHL,2021-01-10
2019-12-29,11.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-01-05,22.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-01-12,14.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-01-19,36.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-01-26,35.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-02-02,30.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-02-09,34.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-02-16,32.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-02-23,17.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-03-01,22.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-03-08,17.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-03-15,11.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-03-22,19.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-03-29,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-04-05,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-04-12,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-04-19,8.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-04-26,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-05-03,6.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-05-10,10.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-05-17,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-05-24,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-05-31,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-06-07,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-06-14,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-06-21,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-06-28,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-07-05,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-07-12,2.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-07-19,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-07-26,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-08-02,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-08-09,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-08-16,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-08-23,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-08-30,2.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-09-06,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-09-13,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-09-20,4.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-09-27,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-10-04,3.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-10-11,5.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-10-18,2.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-10-25,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-11-01,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-11-08,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-11-15,2.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-11-22,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-11-29,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-12-06,2.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-12-13,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-12-20,1.0,,Zamboanga Sibugay,PHL,2021-01-10
2020-12-27,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2021-01-03,0.0,,Zamboanga Sibugay,PHL,2021-01-10
2021-01-10,1.0,,Zamboanga Sibugay,PHL,2021-01-10
