date,cases,Cases (Forecast),Subregion,ISO Country Code,Date Forecast
2016-01-10,39.0,,Zamboanga del Norte,PHL,2021-01-10
2016-01-17,25.0,,Zamboanga del Norte,PHL,2021-01-10
2016-01-24,31.0,,Zamboanga del Norte,PHL,2021-01-10
2016-01-31,39.0,,Zamboanga del Norte,PHL,2021-01-10
2016-02-07,26.0,,Zamboanga del Norte,PHL,2021-01-10
2016-02-14,31.0,,Zamboanga del Norte,PHL,2021-01-10
2016-02-21,36.0,,Zamboanga del Norte,PHL,2021-01-10
2016-02-28,25.0,,Zamboanga del Norte,PHL,2021-01-10
2016-03-06,28.0,,Zamboanga del Norte,PHL,2021-01-10
2016-03-13,29.0,,Zamboanga del Norte,PHL,2021-01-10
2016-03-20,21.0,,Zamboanga del Norte,PHL,2021-01-10
2016-03-27,21.0,,Zamboanga del Norte,PHL,2021-01-10
2016-04-03,16.0,,Zamboanga del Norte,PHL,2021-01-10
2016-04-10,14.0,,Zamboanga del Norte,PHL,2021-01-10
2016-04-17,9.0,,Zamboanga del Norte,PHL,2021-01-10
2016-04-24,11.0,,Zamboanga del Norte,PHL,2021-01-10
2016-05-01,12.0,,Zamboanga del Norte,PHL,2021-01-10
2016-05-08,12.0,,Zamboanga del Norte,PHL,2021-01-10
2016-05-15,25.0,,Zamboanga del Norte,PHL,2021-01-10
2016-05-22,14.0,,Zamboanga del Norte,PHL,2021-01-10
2016-05-29,16.0,,Zamboanga del Norte,PHL,2021-01-10
2016-06-05,17.0,,Zamboanga del Norte,PHL,2021-01-10
2016-06-12,12.0,,Zamboanga del Norte,PHL,2021-01-10
2016-06-19,21.0,,Zamboanga del Norte,PHL,2021-01-10
2016-06-26,36.0,,Zamboanga del Norte,PHL,2021-01-10
2016-07-03,28.0,,Zamboanga del Norte,PHL,2021-01-10
2016-07-10,42.0,,Zamboanga del Norte,PHL,2021-01-10
2016-07-17,33.0,,Zamboanga del Norte,PHL,2021-01-10
2016-07-24,38.0,,Zamboanga del Norte,PHL,2021-01-10
2016-07-31,62.0,,Zamboanga del Norte,PHL,2021-01-10
2016-08-07,75.0,,Zamboanga del Norte,PHL,2021-01-10
2016-08-14,77.0,,Zamboanga del Norte,PHL,2021-01-10
2016-08-21,68.0,,Zamboanga del Norte,PHL,2021-01-10
2016-08-28,44.0,,Zamboanga del Norte,PHL,2021-01-10
2016-09-04,35.0,,Zamboanga del Norte,PHL,2021-01-10
2016-09-11,18.0,,Zamboanga del Norte,PHL,2021-01-10
2016-09-18,17.0,,Zamboanga del Norte,PHL,2021-01-10
2016-09-25,21.0,,Zamboanga del Norte,PHL,2021-01-10
2016-10-02,31.0,,Zamboanga del Norte,PHL,2021-01-10
2016-10-09,18.0,,Zamboanga del Norte,PHL,2021-01-10
2016-10-16,23.0,,Zamboanga del Norte,PHL,2021-01-10
2016-10-23,24.0,,Zamboanga del Norte,PHL,2021-01-10
2016-10-30,19.0,,Zamboanga del Norte,PHL,2021-01-10
2016-11-06,21.0,,Zamboanga del Norte,PHL,2021-01-10
2016-11-13,13.0,,Zamboanga del Norte,PHL,2021-01-10
2016-11-20,12.0,,Zamboanga del Norte,PHL,2021-01-10
2016-11-27,23.0,,Zamboanga del Norte,PHL,2021-01-10
2016-12-04,29.0,,Zamboanga del Norte,PHL,2021-01-10
2016-12-11,12.0,,Zamboanga del Norte,PHL,2021-01-10
2016-12-18,13.0,,Zamboanga del Norte,PHL,2021-01-10
2016-12-25,4.0,,Zamboanga del Norte,PHL,2021-01-10
2017-01-01,3.0,,Zamboanga del Norte,PHL,2021-01-10
2017-01-08,30.0,,Zamboanga del Norte,PHL,2021-01-10
2017-01-15,33.0,,Zamboanga del Norte,PHL,2021-01-10
2017-01-22,26.0,,Zamboanga del Norte,PHL,2021-01-10
2017-01-29,22.0,,Zamboanga del Norte,PHL,2021-01-10
2017-02-05,32.0,,Zamboanga del Norte,PHL,2021-01-10
2017-02-12,23.0,,Zamboanga del Norte,PHL,2021-01-10
2017-02-19,16.0,,Zamboanga del Norte,PHL,2021-01-10
2017-02-26,20.0,,Zamboanga del Norte,PHL,2021-01-10
2017-03-05,14.0,,Zamboanga del Norte,PHL,2021-01-10
2017-03-12,13.0,,Zamboanga del Norte,PHL,2021-01-10
2017-03-19,8.0,,Zamboanga del Norte,PHL,2021-01-10
2017-03-26,7.0,,Zamboanga del Norte,PHL,2021-01-10
2017-04-02,12.0,,Zamboanga del Norte,PHL,2021-01-10
2017-04-09,8.0,,Zamboanga del Norte,PHL,2021-01-10
2017-04-16,5.0,,Zamboanga del Norte,PHL,2021-01-10
2017-04-23,5.0,,Zamboanga del Norte,PHL,2021-01-10
2017-04-30,8.0,,Zamboanga del Norte,PHL,2021-01-10
2017-05-07,14.0,,Zamboanga del Norte,PHL,2021-01-10
2017-05-14,10.0,,Zamboanga del Norte,PHL,2021-01-10
2017-05-21,12.0,,Zamboanga del Norte,PHL,2021-01-10
2017-05-28,9.0,,Zamboanga del Norte,PHL,2021-01-10
2017-06-04,10.0,,Zamboanga del Norte,PHL,2021-01-10
2017-06-11,13.0,,Zamboanga del Norte,PHL,2021-01-10
2017-06-18,16.0,,Zamboanga del Norte,PHL,2021-01-10
2017-06-25,14.0,,Zamboanga del Norte,PHL,2021-01-10
2017-07-02,7.0,,Zamboanga del Norte,PHL,2021-01-10
2017-07-09,18.0,,Zamboanga del Norte,PHL,2021-01-10
2017-07-16,9.0,,Zamboanga del Norte,PHL,2021-01-10
2017-07-23,14.0,,Zamboanga del Norte,PHL,2021-01-10
2017-07-30,21.0,,Zamboanga del Norte,PHL,2021-01-10
2017-08-06,12.0,,Zamboanga del Norte,PHL,2021-01-10
2017-08-13,8.0,,Zamboanga del Norte,PHL,2021-01-10
2017-08-20,28.0,,Zamboanga del Norte,PHL,2021-01-10
2017-08-27,31.0,,Zamboanga del Norte,PHL,2021-01-10
2017-09-10,7.0,,Zamboanga del Norte,PHL,2021-01-10
2017-09-24,12.0,,Zamboanga del Norte,PHL,2021-01-10
2017-10-08,12.0,,Zamboanga del Norte,PHL,2021-01-10
2017-10-22,9.0,,Zamboanga del Norte,PHL,2021-01-10
2017-11-05,23.0,,Zamboanga del Norte,PHL,2021-01-10
2017-11-19,14.0,,Zamboanga del Norte,PHL,2021-01-10
2017-11-26,24.0,,Zamboanga del Norte,PHL,2021-01-10
2017-12-03,11.0,,Zamboanga del Norte,PHL,2021-01-10
