date,cases,Cases (Forecast),Subregion,ISO Country Code,Date Forecast
2016-01-10,27.0,,Zamboanga del Sur,PHL,2021-01-10
2016-01-17,15.0,,Zamboanga del Sur,PHL,2021-01-10
2016-01-24,17.0,,Zamboanga del Sur,PHL,2021-01-10
2016-01-31,13.0,,Zamboanga del Sur,PHL,2021-01-10
2016-02-07,12.0,,Zamboanga del Sur,PHL,2021-01-10
2016-02-14,19.0,,Zamboanga del Sur,PHL,2021-01-10
2016-02-21,18.0,,Zamboanga del Sur,PHL,2021-01-10
2016-02-28,8.0,,Zamboanga del Sur,PHL,2021-01-10
2016-03-06,8.0,,Zamboanga del Sur,PHL,2021-01-10
2016-03-13,9.0,,Zamboanga del Sur,PHL,2021-01-10
2016-03-20,8.0,,Zamboanga del Sur,PHL,2021-01-10
2016-03-27,11.0,,Zamboanga del Sur,PHL,2021-01-10
2016-04-03,9.0,,Zamboanga del Sur,PHL,2021-01-10
2016-04-10,20.0,,Zamboanga del Sur,PHL,2021-01-10
2016-04-17,14.0,,Zamboanga del Sur,PHL,2021-01-10
2016-04-24,9.0,,Zamboanga del Sur,PHL,2021-01-10
2016-05-01,12.0,,Zamboanga del Sur,PHL,2021-01-10
2016-05-08,11.0,,Zamboanga del Sur,PHL,2021-01-10
2016-05-15,16.0,,Zamboanga del Sur,PHL,2021-01-10
2016-05-22,30.0,,Zamboanga del Sur,PHL,2021-01-10
2016-05-29,22.0,,Zamboanga del Sur,PHL,2021-01-10
2016-06-05,44.0,,Zamboanga del Sur,PHL,2021-01-10
2016-06-12,27.0,,Zamboanga del Sur,PHL,2021-01-10
2016-06-19,49.0,,Zamboanga del Sur,PHL,2021-01-10
2016-06-26,48.0,,Zamboanga del Sur,PHL,2021-01-10
2016-07-03,35.0,,Zamboanga del Sur,PHL,2021-01-10
2016-07-10,31.0,,Zamboanga del Sur,PHL,2021-01-10
2016-07-17,42.0,,Zamboanga del Sur,PHL,2021-01-10
