Location,Hazard_Score,Hazard_SPC_1,Hazard_SPC_2,Hazard_SPC_3,Hazard_SPC_4,Vulnerability_Score,Vulnerability_SPC_1,Vulnerability_SPC_2,Vulnerability_SPC_3,Vulnerability_SPC_4,Lack of Coping Capacity_Score,Lack of Coping Capacity_SPC_1,Lack of Coping Capacity_SPC_2,Lack of Coping Capacity_SPC_3,Lack of Coping Capacity_SPC_4,Final_Risk_Score,children population,elderly population,total population,youth population,reporting_date
ABRA,1.572825548730909,4.200896327119814,4.5432137360468605,9.93735662377708,9.856400712855793,1.6554137315821025,9.936694478204362,8.762586735722714,3.5501396763875315,6.888375117039518,1.640148126815959,9.973152514909513,9.933863767095392,10.0,9.972477064220184,1.6245651356603,50718.92528199997,49505.714567000025,494471.2146890003,92135.01777900005,2023-09-07 15:37:04
AGUSAN DEL NORTE,1.5465945086969808,5.299872835395156,3.552777962677549,9.578557168806034,9.130693584544966,1.4144565843037573,9.802992221340299,7.815689185413345,2.5862540303421637,6.47710711514523,1.6300280125852842,9.635320349119262,9.93092109362505,10.0,9.972477064220184,1.3909724216592232,112284.53847200012,62419.04626300001,931139.7937760004,186799.6174830001,2023-09-07 15:37:04
AGUSAN DEL SUR,1.7297195227589526,6.218304894345051,6.735894359179628,9.857586800635048,9.588008847928878,1.4357719443791408,9.974810759901683,8.297679834264898,2.498465133387776,6.128472905732507,1.6325432921866954,9.782098241226524,9.921005396872273,10.0,9.697247706422019,1.5184875133291844,258556.51571899952,128490.99195100016,2071072.210601,422212.1868739989,2023-09-07 15:37:04
AKLAN,1.4397302553089895,7.5405951205480255,1.4988635469246743,9.511028123681415,1.0,1.4550981903060332,9.459706972544083,8.304426224459153,2.6926623279092343,6.236791070940474,1.628778021555182,9.743136951334167,9.841574392128168,10.0,9.807339449541285,1.3650492273373465,101896.17967699998,83285.55114500006,948318.1362400012,189666.76552599977,2023-09-07 15:37:04
ALBAY,1.6009864125330608,7.59376200887945,2.18732935741662,9.830230455203314,9.78767703724056,1.9461715097767576,9.608964271586919,8.611962037664178,5.6078077305129295,5.926713336132048,1.6166081119874394,9.498972678190835,9.736211788815835,10.0,9.669724770642203,1.9125064481870084,229307.977838,157760.67746600005,1995873.688962001,385668.2602630004,2023-09-07 15:37:04
ANTIQUE,1.755850098931304,9.19604673888921,4.707507439651289,9.712028236342075,9.723101496073316,1.545520808340931,9.831321642931211,8.459232665935671,3.0962113693695006,6.3796960631212345,1.6338004918399374,9.816350816076964,9.912774768220912,10.0,9.807339449541285,1.6340562047322056,141536.04056799976,122159.03981400012,1314908.3069250009,256672.6369950004,2023-09-07 15:37:04
AURORA,1.6268711410252292,6.648894373940331,3.7050059463131566,9.873156588098974,9.693560123592126,1.8765204367494814,9.787335857057508,8.949979008515985,4.782540208501779,7.5073434018805445,1.638253871163544,9.951665530437321,9.931073349777296,10.0,9.752293577981652,1.8592358797444484,64274.47725500002,36055.64165699983,551028.8592379977,108238.41461499989,2023-09-07 15:37:04
BASILAN,1.9426998096646029,9.263818219819665,8.919326030978258,9.952117365176592,9.944971364185678,1.850992506826478,9.882885684597095,8.438612910077097,4.943502441053852,6.7958113932211575,1.6405363488815727,9.955922196319891,9.956268963324465,10.0,9.972477064220184,2.022663895018501,38953.94331999997,14429.993328999986,304197.5980890001,60842.11018400002,2023-09-07 15:37:04
BATAAN,1.6994545898731273,7.966918388243564,4.506088305894497,9.658188945769274,9.820120666015002,1.5845592533312625,9.37495011947327,7.826348695153711,3.5919294518686518,7.452921358549842,1.6257158092802357,9.614855848767604,9.87064490004752,10.0,9.724770642201834,1.638152046545259,131883.76967200026,79082.52070600002,1224938.8563360004,236058.8685319999,2023-09-07 15:37:04
BATANES,1.72307166577816,6.666156540384254,5.824401682557779,9.999945092036048,9.996762031633358,1.4988550362007536,9.786854750122279,8.671372922484554,2.5254811523427403,7.868847079794374,1.6414050835576437,9.984431156956784,9.95688438640309,10.0,9.972477064220184,1.5702133142880013,1803.5451060000007,2232.312682,18970.904219000004,3193.1991400000006,2023-09-07 15:37:04
BATANGAS,1.4914829944777805,6.39373230617479,2.7972321763086114,8.138558777518417,9.841976735407693,1.53632259258535,8.877821707764618,6.909868699421723,4.28466894804753,3.7593614666317063,1.564846599246445,8.33309375344625,9.552370362307837,8.875,9.064220183486238,1.4845715884639277,569640.1078369993,361954.5065300005,5270505.920005002,997470.4086560009,2023-09-07 15:37:04
BENGUET,1.3236327342399883,1.7726918362864335,4.001082714829955,7.447150629015239,9.543391884279394,1.6660206049750992,9.708262102732911,8.112728406743823,4.064190469320239,6.14242202626742,1.5917465891725258,8.942402299559818,9.659345144306116,10.0,8.65137614678899,1.497510023364475,104652.91449899996,65250.63343600001,1048615.289405,235957.04119400008,2023-09-07 15:37:04
BILIRAN,1.7180926263899472,8.946782376466306,3.603297979375182,9.948032363059728,9.99462997385989,1.625292239558005,9.730189797067764,8.747034973405981,3.3194292474132303,7.589472683955615,1.63720234590271,9.903983221692076,9.915043287656976,10.0,9.944954128440367,1.683837247255353,26232.97846900001,20670.871198,225819.77951600007,41961.946068,2023-09-07 15:37:04
BOHOL,1.650523115583718,8.57721499605422,3.03082712293115,9.407971499616611,9.829120999248328,1.5548779720733394,9.76910999533861,7.615361346147069,3.8095208585748543,4.492733343028245,1.5837789333427699,9.544407361628693,9.147980144544906,8.875,8.926605504587156,1.5915419720173865,218925.37960400005,175723.09572100017,1998003.9682929995,376930.394694,2023-09-07 15:37:04
BUKIDNON,1.3911662285040085,1.2875695445096802,3.791834242067364,9.194769291427418,9.729794907230465,1.5624143344044878,9.86204285938435,8.229184140017981,3.406281576547218,5.585653513127747,1.618896628620404,9.438244988531476,9.84170250166879,10.0,9.642201834862385,1.4366344455141946,363625.1934330007,159084.1970819998,2974941.435077996,618925.8843889997,2023-09-07 15:37:04
BULACAN,1.5237494560216653,5.262750186035676,3.553523066344482,9.171805605837132,9.125745086267951,1.1441042210591532,8.380632907362433,6.318879446523706,2.0352480156096178,5.249614538997451,1.5468476563933367,8.011307818107959,9.383959642414455,8.875,8.73394495412844,1.1491430564873508,928892.1096530004,506406.0742470002,8636664.572144996,1658793.5290100004,2023-09-07 15:37:04
CAGAYAN,1.46386105518916,5.369308484930422,1.5538137816263164,9.517556665061678,8.971546226529707,1.3982534601613137,9.86075279593908,7.973560858758839,2.584894082999008,4.986699049638693,1.6237080951156915,9.563677195350344,9.865509063887027,10.0,9.669724770642203,1.3285323253332741,163846.44271699985,120675.16768199993,1550045.0369650032,304399.9288609993,2023-09-07 15:37:04
CAMARINES NORTE,1.5789891991130678,7.817783055621383,1.3831734140351732,9.928367354712947,9.522559873166205,1.8206180265435925,9.801577860320318,8.898150416211152,4.511433543288426,7.076977644168568,1.6334797194463975,9.823647282906434,9.888666905615858,10.0,9.889908256880734,1.7808085938140974,109391.62108100014,59871.42421799997,881270.5731769998,167737.92308499987,2023-09-07 15:37:04
CAMARINES SUR,1.6022739411350837,7.92978887356452,2.1951714970881078,9.717799273214569,9.3365816188982,2.004943673721921,9.745002195434184,8.30298829728861,6.305593028121835,4.268656965101872,1.5984889241393943,9.50977737945274,9.690158018776078,7.75,9.064220183486238,1.9711394737939556,393933.8274090002,232366.2738280001,3224668.3208499933,619552.539556,2023-09-07 15:37:04
CAMIGUIN,1.7845827515996355,7.7929766753691565,6.364474972291307,9.948686033072489,9.97387941508753,1.4701546647371344,9.709356398594286,8.649189056502685,2.371174759465993,7.87179426749398,1.6417461535511528,10.000000000000002,9.953894718122202,10.0,9.972477064220184,1.580367876940946,10069.365526999998,9232.24789,92362.304324,17004.924316999997,2023-09-07 15:37:04
CAPIZ,1.5423596475161272,7.54214160199647,1.4449240457916592,9.568747426484657,8.780550418763948,1.4210940212175374,9.53908299787659,8.141737415643181,2.6726956042478998,5.222607244692462,1.6225719699095935,9.663257483838239,9.76721717963197,10.0,9.642201834862385,1.3962283626467027,135950.0989,118982.56562599992,1340210.233288,267060.0410710001,2023-09-07 15:37:04
CATANDUANES,1.6102154346719566,9.407713254489414,1.0,9.59079864402992,9.816947404282175,1.604694904555495,9.801902741454672,8.61261259970508,3.289568536783039,7.223355813305704,1.6304194739187174,9.873554268203108,9.953816083569604,8.875,9.807339449541285,1.602573660425148,34030.206474000035,25803.675081000023,289174.41942199983,55449.213927000026,2023-09-07 15:37:04
CAVITE,1.4480248517506087,7.967508531198852,4.485504795735126,5.041385375567805,9.227014989789868,1.4503259299261828,7.855114977349776,6.748197667939793,3.783371542804019,5.567361231863588,1.5039357448778174,8.242083821075802,9.370835058262468,3.2499999999999987,5.73394495412844,1.3940304090944389,698574.174458,387838.1518110002,6736107.323192999,1286623.447382,2023-09-07 15:37:04
CEBU,1.533083533142397,8.142192279364714,2.585907846667611,7.839425749899012,9.787195289030558,1.3066869787504465,9.065525403435947,5.109171210005823,4.040970782056759,1.0,1.5550538262852105,8.391541736022026,9.35822897123735,10.0,7.055045871559633,1.3014824744478153,890298.1615220009,592600.6078350008,7931806.567345002,1565529.8795120018,2023-09-07 15:37:04
