Location,Area (km^2),children population,children density,elderly population,elderly density,total population,total density,youth population,youth density,Average RWI,Min RWI,Max RWI
Abra,3973.6652913365565,50718.92528199997,12.763763820918212,49505.714567000025,12.458451061525768,494471.2146890003,124.43705708355802,92135.01777900003,23.18640625819043,-0.350243670886076,-1.06,1.19
Agusan del Norte,2995.339785968895,112284.53847200012,37.48641105692779,62419.04626300001,20.838719719008267,931139.7937760003,310.86282702808853,186799.6174830001,62.36341478119702,-0.2226358024691359,-1.488,1.352
Agusan del Sur,8597.460084362587,258556.51571899952,30.07359303584005,128490.99195100015,14.945226926345939,2071072.2106009994,240.89349532054828,422212.1868739989,49.10894412198967,-0.43010742705570265,-1.459,1.247
Aklan,1663.2613418445258,101896.17967699998,61.262879809374404,83285.55114500006,50.073640894363564,948318.1362400011,570.1558212062657,189666.76552599977,114.03305106319785,-0.0792429906542056,-0.943,1.22
Albay,2511.9309930296113,229307.97783800002,91.28753077783968,157760.67746600005,62.804542761633236,1995873.6889620014,794.55753143712,385668.2602630004,153.53457612219287,-0.11550129870129863,-1.288,1.598
Antique,2734.397249161706,141536.04056799976,51.76133080567975,122159.03981400013,44.674942476427255,1314908.3069250009,480.87683943074364,256672.63699500042,93.86808631177838,-0.23997910447761195,-1.028,1.302
Apayao,3914.081812532322,33631.53339,8.592445176367216,24889.162668999998,6.35887645202216,313594.41765899997,80.1195357375812,60697.39046900015,15.507440410329675,-0.4212589928057555,-1.083,0.835
Aurora,3040.238252030257,64274.47725500002,21.141263258587653,36055.641656999825,11.859478984228303,551028.8592379977,181.24528854606152,108238.41461499989,35.601951440061896,-0.203825,-1.144,1.034
Basilan,1368.1859435575736,38953.94331999997,28.471234851829756,14429.993328999986,10.546807177012024,304197.59808900015,222.3364444879633,60842.11018400002,44.46918232897323,-0.3873597883597884,-1.074,1.273
Bataan,1318.3063647337342,131883.76967200026,100.04030413570639,79082.52070600002,59.987968518966206,1224938.8563360004,929.1761680779022,236058.8685319999,179.06222320308532,0.26037125748502987,-1.055,1.615
Batanes,207.51036014798453,1803.5451060000007,8.691349697980455,2232.3126819999998,10.757596297399523,18970.904219000004,91.42147989850261,3193.1991400000006,15.388143212333079,-0.1253125,-0.737,0.696
Batangas,3221.585817864458,569640.1078369993,176.81978380902032,361954.50653000054,112.35289916005866,5270505.920005002,1635.997368370197,997470.4086560009,309.6209336174721,0.3486433962264149,-1.116,1.635
Benguet,2641.110530555467,104652.91449899996,39.624587190975994,65250.63343600001,24.705756416137866,1048615.289405,397.0357458627298,235957.04119400008,89.34008571931089,-0.21771761658031075,-1.062,1.736
Biliran,534.3287527429836,26232.97846900001,49.09520278355352,20670.871198,38.68568010215773,225819.77951600007,422.62329765477017,41961.946068,78.53207571665908,-0.14714925373134324,-0.902,1.167
Bohol,3976.874397389103,218925.37960400005,55.04960874493017,175723.09572100017,44.18623224217639,1998003.9682929993,502.40560013781896,376930.39469399996,94.7805630827723,-0.14581626506024098,-1.401,1.523
Bukidnon,9104.56692880438,363625.19343300065,39.93876878235572,159084.1970819998,17.47301088849164,2974941.435077996,326.7526570282095,618925.8843889997,67.97971712755344,-0.2539263336155806,-1.21,1.325
Bulacan,2557.606347245576,928892.1096530003,363.1880686616899,506406.0742470002,198.00000683935437,8636664.572144996,3376.8545270644504,1658793.5290100004,648.5726510635401,0.35076635514018684,-1.047,1.834
Cagayan,8814.388143897302,163846.44271699985,18.5885214086516,120675.16768199991,13.690702713783955,1550045.0369650032,175.8539573774258,304399.9288609993,34.53443663832214,-0.2517296996662957,-1.236,1.287
Camarines Norte,2108.2683540817934,109391.62108100014,51.88695303859602,59871.42421799997,28.398388707056014,881270.5731769998,418.00683080537743,167737.92308499987,79.56194132509007,-0.27689084507042233,-1.158,1.334
Camarines Sur,5295.298480128113,393933.8274090002,74.39312984666154,232366.27382800015,43.88161964807286,3224668.3208499933,608.9681880920103,619552.539556,117.00049428394276,-0.2536966887417221,-1.16,1.645
Camiguin,244.08023223793813,10069.365526999998,41.25432622984405,9232.24789,37.824643992472424,92362.30432400001,378.4096052234248,17004.924316999997,69.66940403605889,-0.10319444444444442,-1.028,1.191
Capiz,2649.037656190395,135950.0989,51.32056110350318,118982.56562599992,44.91539233047741,1340210.2332879999,505.9234360659744,267060.0410710001,100.81398444711486,-0.19372992700729919,-1.079,1.358
Catanduanes,1472.455740765324,34030.206474000035,23.11119141435958,25803.675081000023,17.524244951218908,289174.41942199983,196.38920981876063,55449.213927000026,37.65764388828402,-0.17583593750000004,-1.757,1.019
Cavite,1244.4406436706145,698574.174458,561.3559618219143,387838.1518110002,311.6566095647832,6736107.323192999,5412.959916934335,1286623.447382,1033.8969993674932,0.695492822966507,-0.944,1.559
Cebu,4878.700318699652,890298.1615220009,182.48674920850584,592600.6078350008,121.46690083906407,7931806.567345002,1625.803195359848,1565529.8795120018,320.8907654178832,-0.04118500604594923,-1.389,1.824
Compostela Valley,4255.350513593331,203556.67564300017,47.835466195500665,111010.40627799995,26.087253194158105,1786121.3506399977,419.7354236588491,369070.27308699983,86.73087490866813,-0.35735135135135165,-1.198,1.229
Davao del Norte,3492.9556613086347,401062.2849430004,114.82031947486632,212570.19575500028,60.85682624306801,3515689.7602879996,1006.508556415757,721494.8167009996,206.55710712076197,-0.15672803347280337,-1.066,1.579
Davao del Sur,6055.200644714614,525404.5942889994,86.76914690640481,260848.7349239997,43.078462668563425,4487407.8553530015,741.0832635694595,915401.9272719994,151.17615104480868,-0.17421359223300978,-1.083,1.912
Davao Oriental,5137.409638556632,150840.63091700035,29.36122317070659,82357.24132399993,16.030888544667114,1272694.1406340003,247.73071064497924,255628.97279700002,49.75833947102175,-0.36627755905511794,-1.316,1.173
Dinagat Islands,809.5996663299944,16259.578130999997,20.08347928885208,14890.133068000005,18.39197036172043,158693.51107100002,196.01479307714564,31707.059979999984,39.16387481201866,-0.26338372093023266,-1.059,0.956
Eastern Samar,4282.521454833805,66233.76393799999,15.466067044040148,51550.02827600001,12.037307651503768,569219.478380999,132.91690056532104,108300.26459600017,25.288901815952034,-0.28915243902439003,-1.142,1.347
Guimaras,604.5312542181166,66079.89232600002,109.30765260675538,59321.08185999998,98.12740275393067,688145.7960430003,1138.313017303015,136863.069134,226.39535702916595,-0.09896153846153848,-0.779,1.151
Ifugao,2503.588577509258,74016.84125599996,29.564298991025513,43805.332021,17.497017047657472,657020.8574170005,262.4316404537402,133718.58844599992,53.410767906215796,-0.4075029069767441,-1.319,0.893
Ilocos Norte,3379.848143292253,73903.42811399997,21.86590195203619,78500.12153300009,23.225931522631797,760097.4128260011,224.8909952757827,137021.44848900003,40.54071149940179,-0.018774390243902442,-0.94,1.554
Ilocos Sur,2506.210918226802,135320.01454700014,53.99386522613267,130154.58349599999,51.932813215931226,1356232.4955860002,541.1485863869606,257260.66950900003,102.64924936605794,-0.10197500000000008,-0.982,1.124
Iloilo,4710.55648333645,580374.2182680002,123.20714555086403,502794.90399400075,106.73789939100256,5677868.67496799,1205.3498764006756,1116788.845164999,237.08214711268812,-0.10422136422136419,-1.072,1.473
Isabela,10277.271204507935,253179.502347,24.63489551934248,152059.54034899987,14.795711558365976,2288126.485500998,222.63949641587286,454084.06422199996,44.18332991181787,-0.20361132437619964,-1.136,1.407
Kalinga,2897.824845617579,51137.07397099996,17.64670975484777,28626.758196000017,9.878705484664701,444085.0088829998,153.24770562119923,93010.96525199985,32.09682096302737,-0.40902523659305984,-0.998,0.765
La Union,1464.1589124179498,98425.74847900002,67.22340563187721,83757.75197900007,57.20536976459772,992339.2882710001,677.7538147360149,191367.76650300005,130.7015002811207,0.020251908396946555,-0.925,1.503
