Location,cases,deaths,CFR,report_date,NDVI,NDVI_date,NDWI,NDWI_date,NDBI,NDBI_date,date_version,house,apartments,residential,toilets,waste_disposal,waste_transfer_station,school,university,college,kindergarten,childcare,prep_school,nursing_home,hospital,clinic,health_post,pharmacy,doctors,community_centre,social_centre,social_facility,basin,canal,pond,reservoir,wastewater,lagoon,lake,oxbow,river,stream,loc,TS,T2M,QV2M,RH2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,GWETPROF,GWETROOT,CLOUD_AMT,T2M_RANGE,PRECTOTCORR,ALLSKY_SFC_LW_DWN,Area (km^2),children population,children density,elderly population,elderly density,total population,total density,youth population,youth density,Average RWI,Min RWI,Max RWI
ABRA,1315,5.0,0.0038022813688212,2019-12-29,4038.436187432248,2019-12-29,-3777.66211657506,2019-12-29,-1233.985443812201,2019-12-29,2019-12-29,35916.0,0.0,0.0,0.0,0.0,0.0,322.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,ABRA,24.757717391304347,24.725217391304344,16.816195652173914,83.35923913043479,21.555869565217392,23.140652173913043,0.8730434782608697,28.46152173913044,22.062717391304343,0.8614130434782609,0.8779347826086956,53.64782608695653,6.397717391304348,6.227173913043478,402.27456521739134,3973.665291336557,50718.92528199997,12.763763820918212,49505.714567000025,12.458451061525768,494471.2146890003,124.43705708355802,92135.01777900005,23.18640625819043,-0.350243670886076,-1.06,1.19
AGUSAN DEL NORTE,1185,6.0,0.0050632911392405,2019-12-29,4256.926320873373,2019-12-28,-3891.462113451314,2019-12-28,-1666.4142632507323,2019-12-28,2019-12-29,892.0,6.0,7.0,3.0,0.0,1.0,395.0,4.0,9.0,2.0,2.0,0.0,1.0,16.0,11.0,4.0,36.0,10.0,1.0,0.0,2.0,1.0,0.0,1808.0,0.0,0.0,2.0,6.0,0.0,58.0,0.0,AGUSAN DEL NORTE,25.49,25.361630434782608,17.85086956521739,86.79228260869566,22.73217391304348,24.0475,0.8829347826086957,29.770000000000003,22.499782608695654,0.9014130434782608,0.8754347826086956,71.62652173913044,7.269239130434783,8.0875,405.1928260869565,2995.339785968895,112284.53847200012,37.48641105692779,62419.04626300001,20.838719719008267,931139.7937760004,310.86282702808853,186799.6174830001,62.36341478119702,-0.2226358024691359,-1.488,1.352
AGUSAN DEL SUR,2426,7.0,0.0028854080791426,2019-12-29,4425.7712927843,2019-12-28,-3962.9441651544976,2019-12-28,-1856.6362120741685,2019-12-28,2019-12-29,4204.0,2.0,650.0,2.0,0.0,0.0,567.0,2.0,8.0,4.0,10.0,0.0,0.0,15.0,8.0,1.0,19.0,5.0,11.0,0.0,2.0,0.0,1.0,55.0,8.0,0.0,0.0,96.0,16.0,87.0,0.0,AGUSAN DEL SUR,26.34858695652174,26.566304347826087,18.05565217391304,84.11413043478261,23.19282608695652,24.878586956521737,0.7855434782608696,32.1679347826087,22.85228260869565,0.7978260869565218,0.7509782608695652,71.62652173913044,9.315869565217392,5.479456521739131,405.1928260869565,8597.460084362587,258556.51571899952,30.07359303584005,128490.99195100016,14.94522692634594,2071072.2106009996,240.89349532054828,422212.1868739989,49.10894412198967,-0.4301074270557026,-1.459,1.247
AKLAN,5721,23.0,0.0040202761754937,2019-12-29,3504.2279705639357,2019-12-26,-3156.3538371053965,2019-12-26,-1538.7934197862696,2019-12-26,2019-12-29,16716.0,45.0,15.0,16.0,1.0,0.0,428.0,4.0,19.0,11.0,4.0,2.0,0.0,14.0,18.0,2.0,24.0,6.0,7.0,0.0,4.0,0.0,420.0,5774.0,4.0,0.0,0.0,0.0,0.0,269.0,81.0,AKLAN,26.69663043478261,26.492065217391303,18.95684782608696,86.90391304347825,24.08641304347826,25.28967391304348,0.9445652173913044,28.69695652173913,24.8775,0.9348913043478262,0.9656521739130436,75.24945652173913,3.820108695652174,10.704891304347829,418.2091304347826,1663.2613418445258,101896.17967699998,61.2628798093744,83285.55114500006,50.07364089436357,948318.1362400012,570.1558212062657,189666.76552599977,114.03305106319785,-0.0792429906542056,-0.943,1.22
ALBAY,1587,23.0,0.0144927536231884,2019-12-29,824.9628498399663,2019-12-26,-807.55189274134,2019-12-26,-241.11791503417768,2019-12-26,2019-12-29,10889.0,9.0,1633.0,4.0,1.0,0.0,750.0,9.0,27.0,2.0,4.0,0.0,0.0,28.0,43.0,3.0,49.0,10.0,12.0,0.0,4.0,1.0,0.0,95.0,11.0,0.0,0.0,8.0,0.0,50.0,0.0,ALBAY,27.06695652173913,26.729347826086958,18.77641304347826,85.45086956521739,23.98586956521739,25.35793478260869,0.9236956521739133,29.436956521739127,24.89630434782609,0.9271739130434782,0.9484782608695652,67.41760869565218,4.539347826086956,9.28032608695652,415.5755434782608,2511.9309930296117,229307.977838,91.28753077783968,157760.67746600005,62.80454276163324,1995873.6889620011,794.55753143712,385668.2602630004,153.53457612219287,-0.1155012987012986,-1.288,1.598
ANTIQUE,4838,12.0,0.0024803637866887,2019-12-29,3904.759507650419,2019-12-26,-3536.177488231928,2019-12-26,-1535.8652155781692,2019-12-01,2019-12-29,5632.0,100.0,141.0,4.0,0.0,0.0,569.0,2.0,6.0,1.0,2.0,0.0,0.0,16.0,4.0,0.0,15.0,4.0,7.0,0.0,4.0,0.0,0.0,83.0,3.0,0.0,1.0,5.0,0.0,43.0,2.0,ANTIQUE,28.37336956521739,27.955652173913045,19.20804347826087,81.27728260869566,24.438804347826085,26.196413043478262,0.8466304347826087,29.096304347826088,27.042608695652174,0.8269565217391304,0.8494565217391304,75.24945652173913,2.05445652173913,8.781956521739131,418.2091304347826,2734.397249161706,141536.04056799976,51.76133080567975,122159.03981400012,44.674942476427255,1314908.3069250009,480.8768394307437,256672.6369950004,93.86808631177838,-0.2399791044776119,-1.028,1.302
AURORA,1436,108.0,0.075208913649025,2019-12-29,302.93940547098447,2019-12-29,-284.2210231299823,2019-12-29,-529.8501140497144,2019-12-29,2019-12-29,2763.0,1.0,72.0,7.0,0.0,0.0,175.0,1.0,7.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,6.0,1.0,9.0,0.0,2.0,0.0,0.0,20.0,3.0,0.0,2.0,9.0,0.0,66.0,1.0,AURORA,26.964891304347827,26.381086956521735,18.117934782608696,83.14141304347827,23.2325,24.807065217391305,0.905,28.29141304347826,25.10967391304348,0.876195652173913,0.9134782608695652,75.17,3.180978260869565,6.490108695652174,395.0303260869565,3040.238252030257,64274.47725500002,21.141263258587653,36055.64165699983,11.859478984228303,551028.8592379977,181.24528854606152,108238.41461499989,35.601951440061896,-0.203825,-1.144,1.034
BASILAN,600,3.0,0.005,2019-12-29,1566.8613773744123,2019-12-26,-1136.629584979058,2019-12-26,-361.71374573986105,2019-12-26,2019-12-29,114.0,0.0,0.0,3.0,0.0,0.0,280.0,1.0,3.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,BASILAN,29.06913043478261,28.13413043478261,18.57467391304348,77.94978260869566,23.91641304347826,26.02510869565217,0.7180434782608696,28.838478260869564,27.449782608695653,0.7179347826086956,0.7336956521739131,73.31478260869565,1.389891304347826,2.75,423.1247826086957,1368.1859435575736,38953.94331999997,28.47123485182976,14429.993328999986,10.546807177012024,304197.5980890001,222.3364444879633,60842.11018400002,44.46918232897323,-0.3873597883597884,-1.074,1.273
BATAAN,2816,5.0,0.0017755681818181,2019-12-29,2215.69633731531,2019-12-29,-2006.6468685655088,2019-12-29,-1096.3810139101226,2019-12-29,2019-12-29,4878.0,19.0,112.0,24.0,0.0,0.0,256.0,7.0,11.0,2.0,2.0,0.0,1.0,20.0,13.0,4.0,35.0,9.0,10.0,0.0,6.0,0.0,0.0,55.0,10.0,0.0,1.0,2.0,0.0,40.0,0.0,BATAAN,27.87217391304348,27.090434782608696,18.582826086956523,82.65380434782608,23.817282608695653,25.45413043478261,0.8841304347826088,29.35358695652174,25.251956521739128,0.863695652173913,0.893695652173913,66.58565217391305,4.101195652173913,4.432608695652174,418.9944565217391,1318.3063647337342,131883.76967200026,100.0403041357064,79082.52070600002,59.987968518966206,1224938.8563360004,929.1761680779022,236058.8685319999,179.06222320308532,0.2603712574850298,-1.055,1.615
BATANES,18,0.0,0.0,2019-12-29,49.706620122368825,2019-12-29,-28.121941417408472,2019-12-29,-1707.7734262202478,2019-12-29,2019-12-29,76.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,BATANES,26.83771739130435,26.05217391304348,17.16989130434783,81.71076086956522,22.67630434782609,24.36445652173913,0.856195652173913,26.39771739130435,25.675217391304347,0.7999999999999999,0.8395652173913043,73.50760869565217,0.7231521739130435,4.49858695652174,416.3020652173913,207.51036014798453,1803.5451060000007,8.691349697980455,2232.312682,10.757596297399523,18970.904219000004,91.4214798985026,3193.1991400000006,15.38814321233308,-0.1253125,-0.737,0.696
