Location,NDVI,NDVI_date,NDWI,NDWI_date,NDBI,NDBI_date,date_version
Abra,4038.4361874322476,2019-12-29,-3777.6621165750603,2019-12-29,-1233.985443812201,2019-12-29,2019-12-29
Agusan del Norte,4256.926320873373,2019-12-28,-3891.462113451314,2019-12-28,-1666.4142632507323,2019-12-28,2019-12-29
Agusan del Sur,4425.7712927843,2019-12-28,-3962.9441651544976,2019-12-28,-1856.6362120741683,2019-12-28,2019-12-29
Aklan,3504.2279705639353,2019-12-26,-3156.3538371053965,2019-12-26,-1538.7934197862696,2019-12-26,2019-12-29
Albay,824.9628498399663,2019-12-26,-807.55189274134,2019-12-26,-241.11791503417766,2019-12-26,2019-12-29
Antique,3904.7595076504194,2019-12-26,-3536.1774882319282,2019-12-26,-1535.8652155781692,2019-12-01,2019-12-29
Aurora,302.93940547098447,2019-12-29,-284.2210231299823,2019-12-29,-529.8501140497144,2019-12-29,2019-12-29
Basilan,1566.8613773744125,2019-12-26,-1136.629584979058,2019-12-26,-361.71374573986105,2019-12-26,2019-12-29
Bataan,2215.69633731531,2019-12-29,-2006.6468685655088,2019-12-29,-1096.3810139101226,2019-12-29,2019-12-29
Batanes,49.706620122368825,2019-12-29,-28.121941417408472,2019-12-29,-1707.7734262202478,2019-12-29,2019-12-29
Batangas,2619.687433348002,2019-12-29,-1977.250520161606,2019-12-29,-686.0662862867589,2019-12-29,2019-12-29
Benguet,2408.528785576493,2019-12-29,-2305.123344840716,2019-12-29,-1048.1631015763396,2019-12-29,2019-12-29
Biliran,3232.1928065738257,2019-12-28,-3053.051134611965,2019-12-28,-1327.704627310457,2019-12-28,2019-12-29
Bohol,2167.5791005807487,2019-12-28,-1857.2027233718748,2019-12-28,-1308.7716233369754,2019-12-28,2019-12-29
Bukidnon,1257.7431117171989,2019-12-28,-1109.0240214683001,2019-12-28,-1394.9398626805028,2019-12-28,2019-12-29
Bulacan,2207.8273878647783,2019-12-29,-2043.7737572639996,2019-12-29,-1756.8669417293254,2019-12-29,2019-12-29
Cagayan,1838.7962840787864,2021-01-02,-1816.1907678598345,2021-01-02,-1833.3983866471176,2021-01-02,2019-12-29
Camarines Norte,1560.1561313369848,2019-12-29,-1420.203689941789,2019-12-29,-717.302467465474,2019-12-29,2019-12-29
Camarines Sur,20.70378385661218,2019-12-29,-15.389280336776691,2019-12-29,-1.447055345520823,2019-12-29,2019-12-29
Camiguin,4317.743387842042,2019-12-28,-3718.045666842555,2019-12-28,-1806.384417214848,2019-12-28,2019-12-29
Capiz,4045.6632203233735,2019-12-26,-3562.8027279771745,2019-12-26,-1528.9928346627073,2019-12-26,2019-12-29
Catanduanes,1769.212589415134,2019-12-26,-1629.7103118408666,2019-12-26,-1361.7812846639524,2019-12-26,2019-12-29
Cavite,2720.6195078260203,2019-12-29,-2781.9046977322937,2019-12-29,-977.1616361830944,2019-12-29,2019-12-29
Cebu,885.1521801794378,2019-12-26,-865.4454925894645,2019-12-26,-1252.4127581251548,2019-12-26,2019-12-29
Davao del Norte,1550.0564103643355,2019-12-28,-1350.431625418189,2019-12-28,-1273.8997777159707,2019-12-28,2019-12-29
Davao del Sur,4218.342889979545,2019-12-28,-3701.4412980146008,2019-12-28,-2025.182022182462,2019-12-28,2019-12-29
Davao Occidental,1649.6718183592834,2019-12-28,-1509.7333907090356,2019-12-28,-867.8474728774751,2019-12-28,2019-12-29
Davao Oriental,3125.0596865253506,2019-12-25,-2834.6474299835986,2019-12-25,-1934.6771973142932,2019-12-25,2019-12-29
Dinagat Islands,1883.9249452533702,2019-12-28,-1060.0880115220457,2019-12-28,-299.0300272954991,2019-12-28,2019-12-29
Eastern Samar,1521.2090290837616,2019-12-28,-966.1617176983427,2019-12-28,-597.8181665157729,2019-12-28,2019-12-29
Guimaras,2084.8514441848615,2019-12-26,-1681.4349339836924,2019-12-26,-1166.7320900923642,2019-12-26,2019-12-29
Ifugao,788.2202031440563,2019-12-29,-756.9394375934564,2019-12-29,-1639.8915231360802,2019-12-29,2019-12-29
